Line_ID,Line_Name_En,Line_Name_Jp
A,Asakusa Line,浅草線
C,Chiyoda Line,千代田線
E,Toei Ōedo Line,都営地下鉄大江戸線
F,Fukutoshin Line,副都心線
G,Ginza Line,銀座線
H,Hibiya Line,日比谷線
I,Mita Line,三田線
M,Marunouchi Line,丸ノ内線
Mb,Marunouchi Line Branch Line,丸ノ内線分岐線
N,Namboku Line,南北線
S,Shinjuku Line,新宿線
T,Tōzai Line,東西線
Y,Yūrakuchō Line,有楽町線
Z,Hanzōmon Line,半蔵門線
